[s]	rid
mhs:MeasurementOOA.3.1.1thru3.2.2.5-538	MDC_ATTR_ID_HANDLE
mhs:MeasurementOOA.3.1.1thru3.2.2.5-561	MDC_ATTR_PT_TYPE
mhs:MeasurementOOA.3.1.1thru3.2.2.5-578	MDC_ATTR_CODE_DIAGNOSTIC
mhs:MeasurementOOA.3.1.1thru3.2.2.5-583	MDC_ATTR_Code_Procedure
mhs:MeasurementOOA.3.1.1thru3.2.2.5-598	MDC_MOC_VMO_METRIC
mhs:MeasurementOOA.3.1.1thru3.2.2.5-599	MDC_MOC_VMO_METRIC_ENUM
mhs:MeasurementOOA.3.1.1thru3.2.2.5-600	MDC_MOC_VMO_METRIC_NU
mhs:MeasurementOOA.3.1.1thru3.2.2.5-601	MDC_MOC_VMO_METRIC_SA_RT
mhs:MeasurementOOA.3.1.1thru3.2.2.5-602	MDC_MOC_SCAN
mhs:MeasurementOOA.3.1.1thru3.2.2.5-603	MDC_MOC_SCAN_CFG
mhs:MeasurementOOA.3.1.1thru3.2.2.5-604	MDC_MOC_SCAN_CFG_EPI
mhs:MeasurementOOA.3.1.1thru3.2.2.5-605	MDC_MOC_SCAN_CFG_PERI
mhs:MeasurementOOA.3.1.1thru3.2.2.5-606	MDC_MOC_VMS_MDS_SIMP
mhs:MeasurementOOA.3.1.1thru3.2.2.5-607	MDC_MOC_VMO_PMSTORE
mhs:MeasurementOOA.3.1.1thru3.2.2.5-608	MDC_MOC_PM_SEGMENT
mhs:MeasurementOOA.3.1.1thru3.2.2.5-609	MDC_ATTR_AL_OP_STAT
mhs:MeasurementOOA.3.1.1thru3.2.2.5-610	MDC_ATTR_CONFIRM_MODE
mhs:MeasurementOOA.3.1.1thru3.2.2.5-611	MDC_ATTR_CONFIRM_TIMEOUT
mhs:MeasurementOOA.3.1.1thru3.2.2.5-612	MDC_ATTR_ID_HANDLE
mhs:MeasurementOOA.3.1.1thru3.2.2.5-613	MDC_ATTR_ID_INSTNO
mhs:MeasurementOOA.3.1.1thru3.2.2.5-614	MDC_ATTR_ID_LABEL_STRING
mhs:MeasurementOOA.3.1.1thru3.2.2.5-615	MDC_ATTR_ID_MODEL
mhs:MeasurementOOA.3.1.1thru3.2.2.5-616	MDC_ATTR_ID_PHYSIO
mhs:MeasurementOOA.3.1.1thru3.2.2.5-617	MDC_ATTR_ID_PROD_SPECN
mhs:MeasurementOOA.3.1.1thru3.2.2.5-618	MDC_ATTR_ID_TYPE
mhs:MeasurementOOA.3.1.1thru3.2.2.5-619	MDC_ATTR_LIMIT_CURR
mhs:MeasurementOOA.3.1.1thru3.2.2.5-620	MDC_ATTR_METRIC_STORE_CAPAC_CNT
mhs:MeasurementOOA.3.1.1thru3.2.2.5-621	MDC_ATTR_METRIC_STORE_SAMPLE_ALG
mhs:MeasurementOOA.3.1.1thru3.2.2.5-622	MDC_ATTR_METRIC_STORE_USAGE_CNT
mhs:MeasurementOOA.3.1.1thru3.2.2.5-623	MDC_ATTR_MSMT_STAT
mhs:MeasurementOOA.3.1.1thru3.2.2.5-624	MDC_ATTR_NU_ACCUR_MSMT
mhs:MeasurementOOA.3.1.1thru3.2.2.5-625	MDC_ATTR_NU_CMPD_VAL_OBS
mhs:MeasurementOOA.3.1.1thru3.2.2.5-626	MDC_ATTR_NU_VAL_OBS
mhs:MeasurementOOA.3.1.1thru3.2.2.5-627	MDC_ATTR_NUM_SEG
mhs:MeasurementOOA.3.1.1thru3.2.2.5-628	MDC_ATTR_OP_STAT
mhs:MeasurementOOA.3.1.1thru3.2.2.5-629	MDC_ATTR_POWER_STAT
mhs:MeasurementOOA.3.1.1thru3.2.2.5-630	MDC_ATTR_SA_SPECN
mhs:MeasurementOOA.3.1.1thru3.2.2.5-631	MDC_ATTR_SCALE_SPECN_I16
mhs:MeasurementOOA.3.1.1thru3.2.2.5-632	MDC_ATTR_SCALE_SPECN_I32
mhs:MeasurementOOA.3.1.1thru3.2.2.5-633	MDC_ATTR_SCALE_SPECN_I8
mhs:MeasurementOOA.3.1.1thru3.2.2.5-634	MDC_ATTR_SCAN_REP_PD
mhs:MeasurementOOA.3.1.1thru3.2.2.5-635	MDC_ATTR_SEG_USAGE_CNT
mhs:MeasurementOOA.3.1.1thru3.2.2.5-636	MDC_ATTR_SYS_ID
mhs:MeasurementOOA.3.1.1thru3.2.2.5-637	MDC_ATTR_SYS_TYPE
mhs:MeasurementOOA.3.1.1thru3.2.2.5-638	MDC_ATTR_TIME_ABS
mhs:MeasurementOOA.3.1.1thru3.2.2.5-639	MDC_ATTR_TIME_BATT_REMAIN
mhs:MeasurementOOA.3.1.1thru3.2.2.5-64	MDC_ATTR_MSMT_STAT
